Condado	Candidato	Votos
Adams	SANDERS	300
Asotin	SANDERS	1000
Benton	SANDERS	6000
Chelan	SANDERS	3000
Clallam	SANDERS	5400
Clark	SANDERS	25000
Columbia	SANDERS	100
Cowlitz	SANDERS	5800
Douglas	SANDERS	1000
Ferry	SANDERS	400
Franklin	SANDERS	1700
Garfield	SANDERS	100
Grant	SANDERS	2000
Grays Harbor	SANDERS	3500
Island	SANDERS	5800
Jefferson	SANDERS	4600
King	SANDERS	118700
Kitsap	SANDERS	16300
Kittitas	SANDERS	1800
Klickitat	SANDERS	1500
Lewis	SANDERS	3200
Lincoln	SANDERS	300
Mason	SANDERS	3600
Okanogan	SANDERS	2100
Pacific	SANDERS	1500
Pend Oreille	SANDERS	700
Pierce	SANDERS	35700
San Juan	SANDERS	2600
Skagit	SANDERS	7800
Skamania	SANDERS	700
Snohomish	SANDERS	39900
Spokane	SANDERS	25500
Stevens	SANDERS	2000
Thurston	SANDERS	17800
Wahkiakum	SANDERS	300
Walla Walla	SANDERS	2500
Whatcom	SANDERS	18200
Whitman	SANDERS	1900
Yakima	SANDERS	6200
Adams	CLINTON	300
Asotin	CLINTON	1100
Benton	CLINTON	6100
Chelan	CLINTON	3400
Clallam	CLINTON	5400
Clark	CLINTON	24100
Columbia	CLINTON	100
Cowlitz	CLINTON	6100
Douglas	CLINTON	1300
Ferry	CLINTON	200
Franklin	CLINTON	2000
Garfield	CLINTON	0
Grant	CLINTON	2300
Grays Harbor	CLINTON	3500
Island	CLINTON	6400
Jefferson	CLINTON	3800
King	CLINTON	159600
Kitsap	CLINTON	16500
Kittitas	CLINTON	1600
Klickitat	CLINTON	1200
Lewis	CLINTON	2700
Lincoln	CLINTON	400
Mason	CLINTON	3600
Okanogan	CLINTON	1500
Pacific	CLINTON	1500
Pend Oreille	CLINTON	600
Pierce	CLINTON	41200
San Juan	CLINTON	1700
Skagit	CLINTON	7300
Skamania	CLINTON	500
Snohomish	CLINTON	41700
Spokane	CLINTON	24800
Stevens	CLINTON	1700
Thurston	CLINTON	16600
Wahkiakum	CLINTON	200
Walla Walla	CLINTON	2400
Whatcom	CLINTON	12000
Whitman	CLINTON	1600
Yakima	CLINTON	7400
